barcode,dateaccessioned,title,editionstatement,author,Subject,Callnumber,Shelving_location,itemtype,price
test1,2019-07-05,"Let  us C",,,,,,BK,375.00
1111,2013-07-09,"DIFFERENTIAL CALCULUS",,"FERRAR W L",COMPUTER,,,BK,125.00
1112,0000-00-00,,,,,,,BK,
1113,1978-12-29,HYDRAULICS,1,"JAGDISH LAL",COMPUTER,"620.106 JAG",,BK,30.00
1114,1983-09-21,"TEXTBOOK OF ELECTRICAL TECHNONOGY",1,"THERAJA B L",Computer,"621.31 THE",,BK,12.00
1115,1983-09-21,"TEXTBOOK OF MATRICES",1,"SHANTI NARAYAN",Computer,"512.896 SHA",,BK,15.00
1116,1983-09-21,"TEXTBOOK OF MATRICES",1,"SHANTI NARA[AN",Computer,"512.896 SHA",,BK,12.00
1117,1983-09-21,"ANALYTICAL SOLID GEOMETRY",1,"SHANTI NARAYAN",Computer,"512.896 SHA",,BK,15.00
1118,1983-09-21,"ANALYTICALI SOLID GEOMETRY",1,"SHANTI NARAYAN",Computer,"512.896 SHA",,BK,15.00
1119,1983-09-21,"ENGINEERING MATHEMATICS",1,VISHWNATH,Computer,"510 VIS",,BK,60.00
11110,1983-09-21,"ENGINEERING MATHEMATICS",1,VISHWNATH,Computer,"510 VIS",,BK,60.00
11111,1983-09-23,"TEXT BOOK OF APPLIED MATHEMATICS I",1,WARTIKAR,Computer,"510 WAR",,BK,94.00
11112,1983-10-13,"ADVANCED ENGINEERING MATHEMATICS",1,WYLIE,Computer,"510 WYL",,BK,73.00
11113,1983-10-13,"CONCEPTS OF MODERN PHYSICS",1,BEISER,Computer,"530 BEI",,BK,73.00
11114,1983-10-13,"ENGINEERING PHYSICS",1,GAUR,Computer,"530 GAU",,BK,37.50
11115,1983-10-13,"ENGINNERING PHYSICS",1,GAUR,Computer,"530 GAU",,BK,37.50
11116,1983-10-13,"PHYSICS PART I",1,HALLIDAY,Computer,"530 HAL",,BK,30.00
11117,1983-10-13,"PHYSICS PART I",1,HALLIDAY,Computer,"530 HAL",,BK,30.00
11118,0000-00-00,"NOT ALLOTED",,"NOT ALLOTED",,,,BK,
11119,1983-10-13,"PHYSICS PART II",1,HALLIDAY,Computer,"530 HAL",,BK,30.00
11120,1983-10-13,"PHYSICS PART II",1,HALLIDAY,Computer,"530 HAL",,BK,30.00
11121,1983-10-13,"PHYSICS PART II",1,HALLIDAY,Computer,"530 HAL",,BK,30.00
11122,1983-10-13,"MODERN PHYSICS",1,KHANNA,Computer,"530 KHA",,BK,22.00
11123,1983-10-13,"MODERN PHYSICS",1,"RAJAM J B",Computer,"530 RAJ",,BK,25.00
11124,1983-10-13,"MODERN PHYSICS",1,"THERAHA B L",Computer,"530 THE",,BK,20.00
11125,1983-10-13,"ATOMIC PHYSICS VOLUME II",1,YARWOOD,Computer,"530 YAR",,BK,35.00
11126,1983-10-14,"APPLIED PHYSICS",1,DOIPHODE,Computer,"530 DOI",,BK,25.00
11127,1983-10-14,"APPLIED PHYSICS",1,DOIPHODE,Computer,"530 DOI",,BK,25.00
11128,1983-10-14,"MODERN PHYSICS",1,"RAJAM J B",Computer,"530 RAJ",,BK,25.00
11129,1983-10-19,"SOLID DESCRIPTIVE GEOMETRY",1,"GUNDA & ARVIKAR",Computer,"510 GUN",,BK,15.00
11130,1983-10-19,"SOLID DESCRIPTIVE GEOMETRY",1,"GUNDA   ",Computer,"510 GUN",,BK,15.00
11131,1983-10-19,"SOLID DESCRIPTIVE GEOMETRY",1,"GUNDA   ",Computer,"515 GUN",,BK,15.00
11132,1983-10-19,"SOLID DESCRIPTIVE GEOMETRY",1,"GUNDA   ",Computer,"515 GUN",,BK,15.00
11133,1983-10-19,"SOLID DESCRIPTIVE GEOMETRY",1,"GUNDA   ",Computer,"515 GUN",,BK,15.00
11134,1983-10-19,"TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL 2",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11135,1983-10-19,"TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL 2",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11136,1983-10-19,"TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL 2",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11137,1983-10-19,"TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL 2",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11138,1983-10-19,"TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL 2",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11139,1983-10-21,"ENGINEERING DRAWING",1,"BHATT N.D.",Computer,"604.2 BHA",,BK,30.00
11140,1983-10-21,"ENGINEERING DRAWING",1,"BHATT N.D.",Computer,"604.2 BHA",,BK,30.00
11141,1983-10-21,"ENGINEERING DRAWING",1,"BHATT N.D.",Computer,"604.2 BHA",,BK,30.00
11142,1983-10-21,"ENGINEERING DRAWING",1,"BHATT N.D.",Computer,"604.2 BHA",,BK,30.00
11143,1983-10-21,"ENGINEERING DRAWING",1,"BHATT N.D.",Computer,"604.2 BHA",,BK,30.00
11144,1983-10-22,"TEXTBOOK OF ELECTRICAL TECHNOLOGY VOL 1",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11145,1983-10-22,"TEXTBOOK OF ELECTRICAL TECHNOLOGY VOL Q",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11146,1983-10-22,"TEXTBOOK OF ELECTRICAL TECHNOLOGY VOL 1",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11147,1983-10-22,"TEXTBOOK OF ELECTRICAL TECHNOLOGY VOL Q",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11148,1983-10-22,"TEXTBOOK OF ELECTRICAL TECHNOLOGY VOL 1",1,"THERAJA B L",Computer,"621.31 THE",,BK,35.00
11149,1983-10-27,THERMODYNAMICS,,FAIRES,Computer,"621.402 FAI",,BK,126.00
11150,1983-10-27,THERMODYNAMICS,,FAIRES,Computer,"621.402 FAI",,BK,126.00
11151,1983-10-27,"BASIC ENGINEERING THERMODYNAMICS",1,"ROY CHOUDHARY",Computer,"621.402 CHO",,BK,27.00
11152,1983-10-27,"ENGINEERING THERMODYNAMICS",1,"GUPTA   ",Computer,"621.402 GUP",,BK,50.00
11153,1983-10-27,"ELEMENTS OF APPLIED  MATHEMATICS",1,WARTIKAR,Computer,"510 WAR",,BK,60.00
11154,1983-10-27,"ELEMENTS OF APPLIED  MATHEMATICS",1,WARTIKAR,Computer,"510 WAR",,BK,60.00
11155,1983-10-27,"ELEMENTS OF APPLIED  MATHEMATICS",1,WARTIKAR,Computer,"510 WAR",,BK,60.00
11156,1983-10-27,"ELEMENTS OF APPLIED  MATHEMATICS",1,WARTIKAR,Computer,"510 WAR",,BK,60.00
11157,1983-10-27,"ELEMENTS OF APPLIED  MATHEMATICS",1,WARTIKAR,Computer,"510 WAR",,BK,60.00
11158,1983-10-27,"ELEMENTS OF ELECTRICAL POWER STN DESIGN",1,DESHPANDE,Computer,"621.31 DES",,BK,15.75
11159,1983-10-27,"INTRODUCTION TO DIGITAL COMPUTER DESIGN",1,"RAJARAMAN V",COMPUTER,"004 RAJ ",,BK,19.50
11160,1983-10-27,"COMPUTERS AND COMMONSENSE",,"HUNT ROGER",COMPUTER,"005.136 ABE ",,BK,
11161,1983-10-27,"COMPUTER ORIENTED NUMERICAL METHODS",1,"RAJARAMAN V",COMPUTER,"519.4 RAJ",,BK,22.00
