barcode,dateaccessioned,title,editionstatement,author,Subject,Callnumber,Shelving_location,itemtype,price
224DB0001,20/12/2006,ADVANCED PLACEMENT CHEMISTRY EXAMINATION PREPARATION GUIDE,,THORPE GARY ,COMPUTER,540/THO,,DB,
224DB0002,20/12/2006,PHYSICS VOL I,,CUTNELL J D ,COMPUTER,530/CUT,,DB,
224DB0003,20/12/2006,PHYSICS VOL II,,CUTNELL J D ,COMPUTER,530/CUT,,DB,
224DB0004,20/12/2006,PROFESSIONAL C#,,ROBINSON SIMON ,COMPUTER,005.133C/SIM,,DB,
224DB0005,20/12/2006,VISUAL BASIC 6,,THAYER ROB ,COMPUTER,005.268/ROB,,DB,
224DB0006,20/12/2006,VISUAL BASIC 5 IN 21 DAYS,4,GUREWICH NATHAN ,COMPUTER,005.268/NAT,,DB,
224DB0007,20/12/2006,JAVA 2 :,3,NAUGHTON P ,COMPUTER,005.133J/NAU/SCH,,DB,
224DB0008,23/12/2006,COMMERCIAL APPLICATION DEVELOPMENT USING ORACLE 2000 FORMS 5.0,,BAYROSS IVAN ,COMPUTER,005.75/BAY,,DB,
224DB0009,20/12/2006,PURE JFC SWING,,PANTHAM S ,COMPUTER,005.133/PAN,,DB,
224DB0010,20/12/2006,MASTERING ENTERPRISE JAVA BEANS,,ROMAN ED ,COMPUTER,005.133J/ROM,,DB,
224DB0011,20/12/2006,COMMERCIAL APPLICATION DEVELOPMENT USING ORACLE 2000,,BAYROSS IVAN ,COMPUTER,005.74/BAY,,DB,
224DB0012,07/08/2008,VISUAL BASIC:,,SSSI ,COMPUTER,005.268/SSS,,DB,
224DB0013,20/12/2006,ACTIVE SERVER PAGES 3.0 IN 21 DAYS,,MITCHELL SCOTT ,COMPUTER,005.72/MIT/ATT,,DB,
224DB0014,20/12/2006,VISUAL BASIC 6 CLIENT/SERVER HOW-TO,,STEIN LINCOLN ,COMPUTER,/LIN,,DB,
224DB0015,20/12/2006,HOW TO SET UP AND MAINTAIN A WEB SITE,,LINCOLN STEINBOCK ,COMPUTER,/LIN,,DB,
224DB0016,20/12/2006,MASTERING ACTIVE SERVER PAGES 3,,RUSSELL JONES ,COMPUTER,/JON,,DB,
224DB0017,20/12/2006,JAVA OPEN SOURCE PROGRAMMING,,WALNES JOE ,COMPUTER,/JOE,,DB,
224DB0018,20/12/2006,VB SCRIPT INTERACTIVE COURSE,,JERKE NOEL ,COMPUTER,/NOE,,DB,
224DB0019,20/12/2006,OPERATING SYSTEMS:,5,STALLING WILLIAMS G ,COMPUTER,/WIL,,DB,
224DB0020,20/12/2006,UNDERSTANDING POINTERS IN C,2,KANETKAR YASHAVANT ,COMPUTER,005.133/KAN,,DB,
224DB0021,11/01/2007,MICROCONTROLLERS: THEORY AND APPLICATIONS,,DESHMUKH AJAY ,E &amp; TC,/AJA,,DB,
224DB0022,11/01/2007,THE DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH MAURICE ,COMPUTER,/MAU,,DB,
224DB0023,11/01/2007,THE DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH MAURICE ,COMPUTER,/MAU,,DB,
224DB0024,11/01/2007,THE UNIFIED MODELING LANGUAGE USER GUIDE,,BOOCH GRADY ,COMPUTER,/GRA,,DB,
224DB0025,12/01/2007,MICROPROCESSORS And INTERFACING,2,HALL DOUGOAS ,E &amp; TC,/DOU,,DB,
224DB0026,17/01/2007,LEX AND YACC,,LEVINE JOHN ,COMPUTER,/JOH,,DB,
224DB0027,17/01/2007,MICROCONTROLLERS: THEORY AND APPLICATIONS,,DESHMUKH AJAY ,E &amp; TC,/AJA,,DB,
224DB0028,17/01/2007,THE DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH MAURICE ,COMPUTER,005.4469/MAU,,DB,
224DB0029,20/10/2008,UNDERSTANDING POINTERS IN C,,KANETKAR YASHAVANT ,COMPUTER,/YAS,,DB,
224DB0030,24/10/2007,TEST YOUR C SKILLS,2,KANETKAR YASHAVANT ,COMPUTER,/YAS,,DB,
224DB0031,29/01/2007,THE DESIGN OF THE UNIX OPERATING SYSTEMS,,BACH MAURICE ,COMPUTER,005.4469/MAU,,DB,
224DB0032,06/02/2007,TEST YOUR C SKILLS,2,KANETKAR YASHAVANT ,COMPUTER,/YAS,,DB,
224DB0033,06/02/2007,CRYPTOGRAPHY AND NETWORK SECURITY :,,KAHATE ATUL ,COMPUTER,/ATU,,DB,
224DB0034,08/02/2007,LET US C,2,KANETKAR YASHAVANT ,COMPUTER,005.133C/KAN,,DB,
224DB0035,08/02/2007,LET US C,3,KANETKAR YASHAVANT ,COMPUTER,005.133C/KAN,,DB,
224DB0036,08/02/2007,LET US C,3,KANETKAR YASHAVANT ,COMPUTER,005.133C/KAN,,DB,
224DB0037,08/02/2007,LET US C,3,KANETKAR YASHAVANT ,COMPUTER,005.133C/KAN,,DB,
224DB0038,08/02/2007,LET US C,3,KANETKAR YASHAVANT ,COMPUTER,005.133C/KAN,,DB,
224DB0039,10/02/2007,FUNDAMENTALS OF COMPUTER ALGORITHMS,,HOROWITZ ELLIS ,COMPUTER,/ELL,,DB,
224DB0040,20/02/2007,LEX AND YACC,,LEVINE JOHN ,COMPUTER,/JOH,,DB,
224DB0041,20/02/2007,UNIX: CONCEPTS AND APPLICATIONS,4,DAS SUMITABHA ,COMPUTER,/DAS,,DB,
224DB0042,26/02/2007,CRYPTOGRAPHY AND NETWORK SECURITY :,,KAHATE ATUL ,COMPUTER,/ATU,,DB,
224DB0043,09/03/2007,OBJECT-ORIENTED PROGRAMMING WITH C++,3,BALAGRUSAMY E ,COMPUTER,/E,,DB,
224DB0044,13/03/2007,COMPUTER ALGORITHMS,,HOROWITZ ELLIS ,COMPUTER,/ELL,,DB,
