"cardnumber";"barcode";"rating";"valid";"userSrNo"
"-1";"123";3;0;0
"10";"11110760";1;0;3242
"10";"11111681";1;0;3242
"10";"11113889";4;0;3242
"10";"11114380";4;0;3242
"10";"11115141";1;0;3242
"10";"11121838";3;0;3242
"10";"11125182";5;0;3242
"10";"224DB0070";2;0;3242
"100";"11117833";5;0;3317
"100";"11119284";4;0;3317
"100";"11123155";2;0;3317
"100";"11128115";4;0;3317
"101";"11110840";3;0;3318
"101";"11110909";5;0;3318
"101";"11110920";3;0;3318
"101";"11115829";1;0;3318
"101";"11119284";5;0;3318
"101";"11122657";2;0;3318
"101";"11123354";1;0;3318
"101";"11127209";3;0;3318
"102";"11115266";1;0;3319
"102";"11115337";3;0;3319
"103";"11111445";5;0;3320
"103";"1111181";4;0;3320
"103";"11114276";5;0;3320
"103";"11116540";5;0;3320
"103";"11116634";2;0;3320
"103";"11116851";5;0;3320
"103";"11118221";4;0;3320
"103";"11120488";1;0;3320
"103";"11123408";5;0;3320
"103";"11124792";3;0;3320
"103";"11126076";5;0;3320
"104";"11112377";2;0;3321
"104";"11117256";5;0;3321
"106";"11111626";5;0;3323
"106";"11113996";2;0;3323
"106";"11125721";3;0;3323
"106";"11128251";2;0;3323
"107";"11110406";5;0;3324
"107";"11111580";1;0;3324
"107";"11111763";5;0;3324
"107";"11114302";1;0;3324
"107";"11114961";5;0;3324
"107";"11116170";3;0;3324
"107";"11116265";4;0;3324
"107";"11118841";3;0;3324
"107";"11118921";5;0;3324
"107";"11119514";1;0;3324
"107";"11128377";2;0;3324
"109";"11112321";5;0;3325
"109";"11113996";4;0;3325
"109";"11114711";1;0;3325
"109";"11117500";3;0;3325
"109";"11123062";2;0;3325
"109";"11123713";5;0;3325
"109";"11127245";2;0;3325
"109";"11127494";1;0;3325
"110";"11110840";1;0;3326
"111";"11123062";3;0;3327
"111";"11127730";3;0;3327
"111";"224DB1605";5;0;3327
"1111000";"I2K161021";4;0;0
"113";"11118948";4;0;3329
"113";"11126371";4;0;3329
"113";"11128042";4;0;3329
"114";"11126211";5;0;3330
"114";"11126236";5;0;3330
"114";"224DB1520";5;0;3330
"115";"11110840";4;0;3331
"115";"11110862";1;0;3331
"115";"11110909";5;0;3331
"115";"11110920";2;0;3331
"115";"11115141";4;0;3331
"115";"11116170";3;0;3331
"115";"11119055";2;0;3331
"115";"11119935";2;0;3331
"115";"11122229";4;0;3331
"115";"11122630";5;0;3331
"115";"11123062";4;0;3331
"115";"11125999";4;0;3331
"115";"11127189";1;0;3331
"115";"11127283";1;0;3331
"115";"224DB1710";5;0;3331
"117";"11114303";3;0;3333
"117";"11117069";3;0;3333
"117";"11117677";3;0;3333
"117";"11123698";3;0;3333
"117";"11125182";4;0;3333
"118";"11111318";1;0;3334
"118";"11114245";4;0;3334
"118";"11119140";2;0;3334
"118";"1114554";3;0;3334
"12";"11110211";5;0;3244
"12";"11110471";1;0;3244
"12";"11111573";2;0;3244
"12";"11112693";4;0;3244
"12";"11114364";3;0;3244
"12";"11115556";3;0;3244
"12";"11119328";3;0;3244
"12";"11120365";4;0;3244
"12";"11124584";4;0;3244
"120";"11118037";4;0;3336
"120";"11123033";5;0;3336
"121";"11112277";2;0;3337
"121";"11112332";3;0;3337
"121";"11112424";2;0;3337
"121";"11114241";1;0;3337
"121";"11119140";5;0;3337
"121";"11122548";2;0;3337
"121";"11123155";3;0;3337
"123";"1111";3;0;3338
"123";"1111000";3;1;3338
"123";"11111582";2;0;3338
"123";"11113984";1;0;3338
"123";"11117502";4;0;3338
"123";"11117643";1;0;3338
"123";"11119055";2;1;3338
"123";"11119284";1;1;3338
"123";"11120873";2;0;3338
"123";"11123790";1;0;3338
"123";"11126016";1;0;3338
"123";"11126034";2;1;3338
"123";"11126196";2;0;3338
"123";"11127054";5;1;3338
"123";"11127108";3;1;3338
"123";"11127189";3;0;3338
"123";"11128478";5;0;3338
"127";"11110950";2;0;3341
